date, pm25, pm10, o3, no2, so2, co
2020/11/1, 40, 36, 10, 14, 3, 4
2020/11/2, 60, 100, 30, 19, 7, 7
2020/11/3, 117, 136, 26, 23, 6, 9
2020/11/4, 176, 145, 18, 31, 5, 13
2020/11/5, 182, 125, 26, 33, 7, 13
2020/11/6, 170, 122, 8, 23, 3, 8
2020/11/7, 175, , , , , 
2020/10/1, 46, 23, 6, 3, 2, 3
2020/10/2, 42, 34, 5, 5, 2, 6
2020/10/3, 66, 42, 3, 7, 1, 6
2020/10/4, 72, 47, 1, 4, 2, 3
2020/10/5, 72, 25, 12, 12, 6, 6
2020/10/6, 58, 34, 6, 6, 1, 3
2020/10/7, 59, 38, 13, 6, 2, 4
2020/10/8, 67, 60, 10, 10, 1, 6
2020/10/9, 105, 64, 10, 9, 1, 4
2020/10/10, 105, 54, 11, 9, 1, 4
2020/10/11, 89, 59, 19, 13, 3, 6
2020/10/12, 92, 50, 9, 6, 1, 3
2020/10/13, 76, 29, 6, 6, 1, 3
2020/10/14, 45, 29, 6, 5, 1, 3
2020/10/15, 41, 45, 27, 19, 4, 7
2020/10/16, 72, 70, 19, 20, 2, 5
2020/10/17, 119, 65, 14, 12, 2, 5
2020/10/18, 117, 56, 9, 9, 1, 6
2020/10/19, 93, 69, 26, 7, 3, 4
2020/10/20, 118, 27, 5, 5, 1, 2
2020/10/21, 37, 21, 10, 11, 2, 3
2020/10/22, 30, 25, 2, 6, 2, 3
2020/10/23, 49, 44, 6, 15, 2, 6
2020/10/24, 63, 62, 1, 15, 1, 7
2020/10/25, 89, , , , , 
2020/10/27, 124, 108, 24, 18, 3, 8
2020/10/28, 164, 83, 16, 15, 3, 5
2020/10/29, 139, 75, 17, 11, 3, 5
2020/10/30, 120, 76, 22, 9, 4, 5
2020/10/31, 119, 26, 7, 9, 3, 2
2020/9/1, 71, 31, 7, 8, 1, 4
2020/9/2, 55, 27, 6, 5, 1, 3
2020/9/3, 48, 32, 14, 7, 5, 4
2020/9/4, 54, 27, 11, 3, 2, 3
2020/9/5, 47, 21, 8, 2, 2, 3
2020/9/6, 38, 20, 16, 2, 6, 3
2020/9/7, 26, 23, 9, 4, 1, 3
2020/9/8, 35, 37, 14, 5, 2, 4
2020/9/9, 68, 29, 12, 3, 2, 3
2020/9/10, 55, 19, 10, 2, 2, 3
2020/9/11, 37, 17, 6, 3, 1, 3
2020/9/12, 26, 18, 5, 4, 1, 3
2020/9/13, 26, 21, 5, 5, 1, 3
2020/9/14, 32, 22, 6, 5, 2, 4
2020/9/15, 34, 24, 21, 4, 3, 3
2020/9/16, 35, 27, 16, 2, 2, 3
2020/9/17, 43, 27, 19, 5, 2, 4
2020/9/18, 45, 41, 23, 12, 3, 5
2020/9/19, 72, 36, 11, 6, 2, 3
2020/9/20, 67, 17, 5, 4, 1, 3
2020/9/21, 32, 20, 15, 5, 2, 4
2020/9/22, 32, 22, 6, 4, 1, 3
2020/9/23, 36, 24, 13, 3, 3, 3
2020/9/24, 41, 33, 6, 4, 2, 4
2020/9/25, 54, 32, 8, 3, 1, 3
2020/9/26, 53, , , , , 
2020/9/28, 123, 38, 7, 5, 1, 3
2020/9/29, 68, 29, 7, 6, 1, 3
2020/9/30, 48, 38, 12, 6, 5, 4
2020/8/1, 30, 29, 15, 5, 2, 4
2020/8/2, 64, 53, 27, 5, 2, 5
2020/8/3, 91, 41, 6, 9, 3, 6
2020/8/4, 78, 13, 11, 2, 2, 3
2020/8/5, 28, 20, 8, 5, 2, 4
2020/8/6, 45, 32, 17, 5, 3, 4
2020/8/7, 57, 33, 18, 3, 2, 3
2020/8/8, 61, 24, 9, 2, 2, 3
2020/8/9, 47, 22, 5, 4, 2, 3
2020/8/10, 40, 29, 21, 4, 3, 3
2020/8/11, 43, 29, 13, 4, 2, 3
2020/8/12, 50, 22, 15, 3, 3, 3
2020/8/13, 30, 17, 7, 3, 2, 3
2020/8/14, 38, 16, 9, 3, 2, 4
2020/8/15, 39, 23, 9, 3, 2, 4
2020/8/16, 41, 26, 5, 5, 2, 4
2020/8/17, 45, 18, 12, 5, 3, 4
2020/8/18, 40, 17, 8, 3, 1, 3
2020/8/19, 28, 13, 7, 1, 1, 3
2020/8/20, 29, 17, 13, 5, 4, 4
2020/8/21, 41, 31, 9, 9, 1, 5
2020/8/22, 53, 37, 11, 6, 1, 4
2020/8/23, 66, 38, 16, 10, 3, 5
2020/8/24, 59, 42, 14, 7, 2, 4
2020/8/25, 72, 17, 8, 4, 2, 3
2020/8/26, 26, 20, 18, 3, 4, 3
2020/8/27, 37, 33, 12, 3, 2, 3
2020/8/28, 54, 42, 18, 2, 2, 3
2020/8/29, 67, 39, 16, 2, 1, 3
2020/8/30, 61, 45, 19, 4, 3, 4
2020/8/31, 66, 41, 6, 8, 1, 4
2020/7/1, 38, 26, 13, 2, 3, 2
2020/7/2, 40, 25, 9, 5, 1, 3
2020/7/3, 44, 22, 13, 4, 3, 2
2020/7/4, 42, 21, 6, 4, 2, 2
